"numerisch" "ganze_zahlen" "kategorisch" "binaer"
4.14282424802934 1 "a" TRUE
7.84930143685012 2 "b" FALSE
0.814037349654308 3 "c" TRUE
1.96629630670969 4 "d" FALSE
8.2045971343695 5 "a" TRUE
2.60177989475752 6 "b" FALSE
3.59892842046073 7 "c" TRUE
1.53600983479426 8 "d" FALSE
3.21725968536632 9 "a" TRUE
6.0371533406465 10 "b" FALSE
3.90561401893269 11 "c" TRUE
5.84040576407022 12 "d" FALSE
4.02307913729573 13 "a" TRUE
6.12935233889798 14 "b" FALSE
0.609836971181267 15 "c" TRUE
2.88756821016374 16 "d" FALSE
2.98544693402335 17 "a" TRUE
2.22205338171695 18 "b" FALSE
3.00074050534349 19 "c" TRUE
3.99823465969997 20 "d" FALSE
3.35724426689372 21 "a" TRUE
7.13922604253797 22 "b" FALSE
3.57214903746618 23 "c" TRUE
5.8057808276778 24 "d" FALSE
1.5490626664549 25 "a" TRUE
3.09265235961805 26 "b" FALSE
4.31784138172546 27 "c" TRUE
5.09733882583067 28 "d" FALSE
5.32926544906619 29 "a" TRUE
1.10713019511485 30 "b" FALSE
5.04275925644038 31 "c" TRUE
7.73352116315879 32 "d" FALSE
-0.303653809696895 33 "a" TRUE
2.56946064261851 34 "b" FALSE
3.74726830216062 35 "c" TRUE
0.80089306889244 36 "d" FALSE
2.19622653306938 37 "a" TRUE
8.95549457681345 38 "b" FALSE
3.45272067392193 39 "c" TRUE
3.81139835202645 40 "d" FALSE
4.14086425965511 41 "a" TRUE
1.70508073196516 42 "b" FALSE
1.88995695756618 43 "c" TRUE
3.60600507406925 44 "d" FALSE
4.11545144168484 45 "a" TRUE
4.201291852823 46 "b" FALSE
5.03824005650987 47 "c" TRUE
0.144842130768517 48 "d" FALSE
10.1274250370516 49 "a" TRUE
1.25122685618665 50 "b" FALSE
5.90859869940714 51 "c" TRUE
1.28420863065172 52 "d" FALSE
1.8940902312609 53 "a" TRUE
7.54342951618277 54 "b" FALSE
5.06535716662163 55 "c" TRUE
5.48529432707999 56 "d" FALSE
5.64263901678736 57 "a" TRUE
4.7030820771477 58 "b" FALSE
6.16952957231707 59 "c" TRUE
2.66397296052086 60 "d" FALSE
4.22588173991114 61 "a" TRUE
6.03397498728937 62 "b" FALSE
6.22235867668195 63 "c" TRUE
3.85173468046675 64 "d" FALSE
5.47429132887063 65 "a" TRUE
6.17174768542841 66 "b" FALSE
3.27779357211616 67 "c" TRUE
-0.453548132189 68 "d" FALSE
2.31169312842296 69 "a" TRUE
6.13076558156248 70 "b" FALSE
3.76332042895338 71 "c" TRUE
6.13265043440209 72 "d" FALSE
0.987657506362132 73 "a" TRUE
8.61227078063509 74 "b" FALSE
5.34020248464004 75 "c" TRUE
8.41572852068204 76 "d" FALSE
6.44730338674203 77 "a" TRUE
5.4024257330385 78 "b" FALSE
5.67869120469822 79 "c" TRUE
5.53481135649297 80 "d" FALSE
4.91640819731886 81 "a" TRUE
3.04346353529141 82 "b" FALSE
2.47896948125066 83 "c" TRUE
2.70292853649836 84 "d" FALSE
7.52856504396014 85 "a" TRUE
2.01272010961111 86 "b" FALSE
7.49190583718379 87 "c" TRUE
3.07700215202325 88 "d" FALSE
3.1118770060034 89 "a" TRUE
-1.21804993433747 90 "b" FALSE
6.47871541652419 91 "c" TRUE
6.20327249821913 92 "d" FALSE
4.46155891908999 93 "a" TRUE
3.30338700935669 94 "b" FALSE
5.81216744291619 95 "c" TRUE
5.82886433379801 96 "d" FALSE
2.24612989809117 97 "a" TRUE
3.82871799229967 98 "b" FALSE
4.49017749268048 99 "c" TRUE
5.2805928002639 100 "d" FALSE
