"numerisch","ganze_zahlen","kategorisch","binaer"
6.60816973343294,1,"a",TRUE
1.18476759506706,2,"b",FALSE
3.20265957953675,3,"c",TRUE
6.27630523811813,4,"d",FALSE
4.7419842332678,5,"a",TRUE
3.67134376076758,6,"b",FALSE
4.9153321485623,7,"c",TRUE
5.28872388595006,8,"d",FALSE
5.41659939082722,9,"a",TRUE
0.410762403518413,10,"b",FALSE
3.16121624862246,11,"c",TRUE
1.98512441809844,12,"d",FALSE
2.97567775827063,13,"a",TRUE
2.10231526069005,14,"b",FALSE
6.07788364172057,15,"c",TRUE
3.87749167458383,16,"d",FALSE
4.51732215795876,17,"a",TRUE
4.30944010176529,18,"b",FALSE
3.66144066973124,19,"c",TRUE
6.21297643764297,20,"d",FALSE
4.85115034887175,21,"a",TRUE
6.43002419009956,22,"b",FALSE
4.70634894011059,23,"c",TRUE
4.21785206838659,24,"d",FALSE
3.37589546818819,25,"a",TRUE
0.750474190288519,26,"b",FALSE
3.26039691030897,27,"c",TRUE
3.88217747905158,28,"d",FALSE
3.99460191060309,29,"a",TRUE
4.19759699352038,30,"b",FALSE
4.65443229693303,31,"c",TRUE
2.97542311992589,32,"d",FALSE
2.59702311045666,33,"a",TRUE
3.82181547047958,34,"b",FALSE
4.1223809108121,35,"c",TRUE
4.48483171383657,36,"d",FALSE
4.19504559765697,37,"a",TRUE
6.12139970051624,38,"b",FALSE
4.74422079131573,39,"c",TRUE
4.31330914223311,40,"d",FALSE
3.35477458860869,41,"a",TRUE
7.02760884294828,42,"b",FALSE
4.77073151840821,43,"c",TRUE
3.88393081068463,44,"d",FALSE
3.72966247175725,45,"a",TRUE
3.81385106196267,46,"b",FALSE
1.89505510980151,47,"c",TRUE
4.49156804055733,48,"d",FALSE
3.19743014998148,49,"a",TRUE
2.37309251951122,50,"b",FALSE
1.77825146205556,51,"c",TRUE
6.32463352221422,52,"d",FALSE
5.75032706139782,53,"a",TRUE
-2.55918636576078,54,"b",FALSE
0.404122260149692,55,"c",TRUE
5.03698419329919,56,"d",FALSE
2.45453316069889,57,"a",TRUE
2.17652934460633,58,"b",FALSE
7.61538988095512,59,"c",TRUE
2.95892678748916,60,"d",FALSE
2.45361056631392,61,"a",TRUE
4.0136818861784,62,"b",FALSE
4.1931689225645,63,"c",TRUE
5.20136668646972,64,"d",FALSE
6.48253820323621,65,"a",TRUE
3.16684539075409,66,"b",FALSE
1.85542600258091,67,"c",TRUE
4.58796945092301,68,"d",FALSE
5.12465268206885,69,"a",TRUE
5.53728557740408,70,"b",FALSE
2.96798700049611,71,"c",TRUE
3.64668964391048,72,"d",FALSE
1.90132778968717,73,"a",TRUE
5.12868082599359,74,"b",FALSE
3.07166167560684,75,"c",TRUE
4.367245417805,76,"d",FALSE
5.4860511367554,77,"a",TRUE
2.12087312580813,78,"b",FALSE
5.28830437755147,79,"c",TRUE
3.81160277282633,80,"d",FALSE
2.20997026187414,81,"a",TRUE
3.79571296357339,82,"b",FALSE
5.19859297744079,83,"c",TRUE
4.98104416443145,84,"d",FALSE
5.87770853344811,85,"a",TRUE
5.34346658570253,86,"b",FALSE
3.66185916696355,87,"c",TRUE
4.49402531464435,88,"d",FALSE
4.10888503469836,89,"a",TRUE
3.481834101979,90,"b",FALSE
0.698010744259101,91,"c",TRUE
2.30516521515962,92,"d",FALSE
3.00675648435325,93,"a",TRUE
9.72191737669946,94,"b",FALSE
4.87931316863187,95,"c",TRUE
3.11139221047761,96,"d",FALSE
0.763216207294959,97,"a",TRUE
5.91500531182476,98,"b",FALSE
3.03289026657053,99,"c",TRUE
-0.140446053820725,100,"d",FALSE
